Acting as user 'admin' on 'micro'

+----+------------+-------------------------+-------------------------+-------+------------+----------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+
| #  | State      | Started                 | Last Activity           | User  | Deployment | Description                                                                                                                            | Result                                                                              |
+----+------------+-------------------------+-------------------------+-------+------------+----------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+
| 47 | processing | 2016-10-05 08:35:52 UTC | 2016-10-05 08:35:52 UTC | admin | bat        | create deployment                                                                                                                      |                                                                                     |
| 46 | done       | 2016-10-05 08:35:34 UTC | 2016-10-05 08:35:48 UTC | admin | bat        | delete deployment bat                                                                                                                  | /deployments/bat                                                                    |
| 45 | done       | 2016-10-05 08:35:32 UTC | 2016-10-05 08:35:33 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["661381fc-e829-4506-b708-01b19809037f"], "ids"=>["661381fc-e829-4506-b708-01b19809037f"]} |                                                                                     |
| 44 | done       | 2016-10-05 08:35:30 UTC | 2016-10-05 08:35:30 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 43 | done       | 2016-10-05 08:35:29 UTC | 2016-10-05 08:35:29 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["661381fc-e829-4506-b708-01b19809037f"], "ids"=>["661381fc-e829-4506-b708-01b19809037f"]} |                                                                                     |
| 42 | done       | 2016-10-05 08:35:27 UTC | 2016-10-05 08:35:27 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 41 | done       | 2016-10-05 08:35:26 UTC | 2016-10-05 08:35:26 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["661381fc-e829-4506-b708-01b19809037f"], "ids"=>["661381fc-e829-4506-b708-01b19809037f"]} |                                                                                     |
| 40 | done       | 2016-10-05 08:35:24 UTC | 2016-10-05 08:35:24 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 39 | done       | 2016-10-05 08:33:54 UTC | 2016-10-05 08:35:21 UTC | admin | bat        | create deployment                                                                                                                      | /deployments/bat                                                                    |
| 38 | done       | 2016-10-05 08:33:32 UTC | 2016-10-05 08:33:48 UTC | admin | bat        | delete deployment bat                                                                                                                  | /deployments/bat                                                                    |
| 37 | error      | 2016-10-05 08:31:29 UTC | 2016-10-05 08:33:28 UTC | admin | bat        | create deployment                                                                                                                      | 'batlight/0 (a8308668-c2c3-4658-862c-e5ce946b4052)' is not running after update.... |
| 36 | done       | 2016-10-05 08:29:32 UTC | 2016-10-05 08:31:26 UTC | admin | bat        | create deployment                                                                                                                      | /deployments/bat                                                                    |
| 35 | done       | 2016-10-05 08:29:12 UTC | 2016-10-05 08:29:28 UTC | admin | bat        | delete deployment bat                                                                                                                  | /deployments/bat                                                                    |
| 34 | error      | 2016-10-05 08:25:59 UTC | 2016-10-05 08:29:09 UTC | admin | bat        | create deployment                                                                                                                      | 'batlight/0 (7ed7826c-1abe-401a-9c46-bfcd1c5d0c73)' is not running after update.... |
| 33 | done       | 2016-10-05 08:25:37 UTC | 2016-10-05 08:25:55 UTC | admin | bat        | delete deployment bat                                                                                                                  | /deployments/bat                                                                    |
| 32 | done       | 2016-10-05 08:25:34 UTC | 2016-10-05 08:25:35 UTC | admin | bat        | fetch logs                                                                                                                             | 62e1c22d-7b47-4601-682f-3e026f2d147d                                                |
| 31 | done       | 2016-10-05 08:25:30 UTC | 2016-10-05 08:25:31 UTC | admin | bat        | fetch logs                                                                                                                             | ace63a7e-f432-4bd3-5b37-72e339a222a6                                                |
| 30 | done       | 2016-10-05 08:25:10 UTC | 2016-10-05 08:25:26 UTC | admin | bat        | create deployment                                                                                                                      | /deployments/bat                                                                    |
| 29 | done       | 2016-10-05 08:25:00 UTC | 2016-10-05 08:25:05 UTC | admin | bat        | create deployment                                                                                                                      | /deployments/bat                                                                    |
| 28 | done       | 2016-10-05 08:23:21 UTC | 2016-10-05 08:24:57 UTC | admin | bat        | create deployment                                                                                                                      | /deployments/bat                                                                    |
| 23 | error      | 2016-10-05 08:22:56 UTC | 2016-10-05 08:23:41 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["ec8c87a1-5459-4ec5-851d-4bbbd48e6fe8"], "ids"=>["ec8c87a1-5459-4ec5-851d-4bbbd48e6fe8"]} | Timed out sending 'ssh' to 00c6724f-afc4-4706-88a1-c876b2e28bb7 after 45 seconds    |
| 27 | done       | 2016-10-05 08:23:18 UTC | 2016-10-05 08:23:19 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["ec8c87a1-5459-4ec5-851d-4bbbd48e6fe8"], "ids"=>["ec8c87a1-5459-4ec5-851d-4bbbd48e6fe8"]} |                                                                                     |
| 26 | done       | 2016-10-05 08:23:16 UTC | 2016-10-05 08:23:16 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 25 | done       | 2016-10-05 08:23:10 UTC | 2016-10-05 08:23:11 UTC | admin | bat        | fetch logs                                                                                                                             | e2404546-40b0-406e-7ca4-95f07cf4c5da                                                |
| 24 | done       | 2016-10-05 08:22:58 UTC | 2016-10-05 08:23:08 UTC | admin | bat        | retrieve vm-stats                                                                                                                      |                                                                                     |
| 22 | done       | 2016-10-05 08:22:54 UTC | 2016-10-05 08:22:55 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 21 | done       | 2016-10-05 08:21:27 UTC | 2016-10-05 08:22:49 UTC | admin | bat        | create deployment                                                                                                                      | /deployments/bat                                                                    |
| 20 | done       | 2016-10-05 08:21:11 UTC | 2016-10-05 08:21:24 UTC | admin | bat        | delete deployment bat                                                                                                                  | /deployments/bat                                                                    |
| 19 | done       | 2016-10-05 08:21:09 UTC | 2016-10-05 08:21:09 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"], "ids"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"]} |                                                                                     |
| 18 | done       | 2016-10-05 08:21:07 UTC | 2016-10-05 08:21:08 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 17 | done       | 2016-10-05 08:21:06 UTC | 2016-10-05 08:21:06 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"], "ids"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"]} |                                                                                     |
| 16 | done       | 2016-10-05 08:21:04 UTC | 2016-10-05 08:21:04 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 15 | done       | 2016-10-05 08:19:19 UTC | 2016-10-05 08:21:02 UTC | admin | bat        | create deployment                                                                                                                      | /deployments/bat                                                                    |
| 14 | done       | 2016-10-05 08:19:13 UTC | 2016-10-05 08:19:13 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"], "ids"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"]} |                                                                                     |
| 13 | done       | 2016-10-05 08:19:07 UTC | 2016-10-05 08:19:08 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 12 | done       | 2016-10-05 08:17:19 UTC | 2016-10-05 08:19:01 UTC | admin | bat        | create deployment                                                                                                                      | /deployments/bat                                                                    |
| 11 | done       | 2016-10-05 08:17:16 UTC | 2016-10-05 08:17:16 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"], "ids"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"]} |                                                                                     |
| 10 | done       | 2016-10-05 08:17:14 UTC | 2016-10-05 08:17:14 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 9  | done       | 2016-10-05 08:15:23 UTC | 2016-10-05 08:17:10 UTC | admin | bat        | create deployment                                                                                                                      | /deployments/bat                                                                    |
| 8  | done       | 2016-10-05 08:15:19 UTC | 2016-10-05 08:15:19 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"], "ids"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"]} |                                                                                     |
| 7  | done       | 2016-10-05 08:15:17 UTC | 2016-10-05 08:15:17 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 6  | done       | 2016-10-05 08:15:13 UTC | 2016-10-05 08:15:14 UTC | admin | bat        | fetch logs                                                                                                                             | 5fd4ae01-f899-4f2b-765f-054060800d6d                                                |
| 5  | done       | 2016-10-05 08:15:10 UTC | 2016-10-05 08:15:12 UTC | admin |            | ssh: cleanup:{"job"=>"batlight", "indexes"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"], "ids"=>["243adf92-cfc1-4bef-94fe-e7d10ed36962"]} |                                                                                     |
| 4  | done       | 2016-10-05 08:15:08 UTC | 2016-10-05 08:15:08 UTC | admin |            | ssh: setup:{"job"=>"batlight", "indexes"=>["0"], "ids"=>["0"]}                                                                         |                                                                                     |
| 3  | done       | 2016-10-05 08:11:35 UTC | 2016-10-05 08:15:00 UTC | admin | bat        | create deployment                                                                                                                      | /deployments/bat                                                                    |
| 2  | done       | 2016-10-05 08:11:30 UTC | 2016-10-05 08:11:31 UTC | admin |            | create release                                                                                                                         | Created release 'bat/3'                                                             |
| 1  | done       | 2016-10-05 08:10:18 UTC | 2016-10-05 08:11:27 UTC | admin |            | create stemcell                                                                                                                        | /stemcells/bosh-openstack-kvm-centos-7-go_agent/3263.5                              |
+----+------------+-------------------------+-------------------------+-------+------------+----------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------+

Showing 47 recent tasks
